year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2019,iip_production_1102003000,暖房・調理等装置・生産,103.8,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2020,iip_production_1102003000,暖房・調理等装置・生産,100.0,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2021,iip_production_1102003000,暖房・調理等装置・生産,97.1,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2022,iip_production_1102003000,暖房・調理等装置・生産,115.9,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2023,iip_production_1102003000,暖房・調理等装置・生産,94.2,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2024,iip_production_1102003000,暖房・調理等装置・生産,90.5,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2025,iip_production_1102003000,暖房・調理等装置・生産,90.9,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
2018,iip_production_1102004000,粉末冶金製品・生産,127.7,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2019,iip_production_1102004000,粉末冶金製品・生産,122.1,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2020,iip_production_1102004000,粉末冶金製品・生産,100.0,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2021,iip_production_1102004000,粉末冶金製品・生産,117.1,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2022,iip_production_1102004000,粉末冶金製品・生産,110.5,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2023,iip_production_1102004000,粉末冶金製品・生産,98.6,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2024,iip_production_1102004000,粉末冶金製品・生産,95.9,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2025,iip_production_1102004000,粉末冶金製品・生産,95.0,index_2020_100,calendar_year,Japan,1102004000,粉末冶金製品,production,industry-iip-annual-20260914
2018,iip_production_1102005000,金属線製品・生産,121.9,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2019,iip_production_1102005000,金属線製品・生産,122.1,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2020,iip_production_1102005000,金属線製品・生産,100.0,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2021,iip_production_1102005000,金属線製品・生産,109.1,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2022,iip_production_1102005000,金属線製品・生産,105.7,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2023,iip_production_1102005000,金属線製品・生産,98.8,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2024,iip_production_1102005000,金属線製品・生産,90.9,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2025,iip_production_1102005000,金属線製品・生産,88.7,index_2020_100,calendar_year,Japan,1102005000,金属線製品,production,industry-iip-annual-20260914
2018,iip_production_1102006000,缶類・生産,109.4,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2019,iip_production_1102006000,缶類・生産,107.6,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2020,iip_production_1102006000,缶類・生産,100.0,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2021,iip_production_1102006000,缶類・生産,103.3,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2022,iip_production_1102006000,缶類・生産,100.0,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2023,iip_production_1102006000,缶類・生産,96.5,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2024,iip_production_1102006000,缶類・生産,93.6,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2025,iip_production_1102006000,缶類・生産,92.2,index_2020_100,calendar_year,Japan,1102006000,缶類,production,industry-iip-annual-20260914
2018,iip_production_1102007000,その他の金属製品・生産,121.1,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
2019,iip_production_1102007000,その他の金属製品・生産,118.7,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
2020,iip_production_1102007000,その他の金属製品・生産,100.0,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
2021,iip_production_1102007000,その他の金属製品・生産,105.7,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
2022,iip_production_1102007000,その他の金属製品・生産,103.8,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
2023,iip_production_1102007000,その他の金属製品・生産,112.1,index_2020_100,calendar_year,Japan,1102007000,その他の金属製品,production,industry-iip-annual-20260914
